,Date,Close Prices,Test Predictions
97,2019-12-12,64.20,63.77
98,2019-12-13,65.22,64.16
99,2019-12-16,65.34,65.15
100,2019-12-17,66.10,65.35
101,2019-12-18,66.17,66.08
102,2019-12-19,66.54,66.20
103,2019-12-20,66.14,66.56
104,2019-12-23,66.39,66.21
105,2019-12-24,67.20,66.41
106,2019-12-26,67.92,67.20
107,2019-12-27,68.16,67.94
108,2019-12-30,68.44,68.22
109,2019-12-31,68.38,68.50
110,2020-01-02,66.25,68.46
111,2020-01-03,68.60,66.47
112,2020-01-06,68.91,68.59
113,2020-01-07,68.27,68.97
114,2020-01-08,65.44,68.39
115,2020-01-09,65.37,65.73
116,2020-01-10,64.98,65.41
117,2020-01-13,64.20,65.03
118,2020-01-14,64.49,64.28
119,2020-01-15,64.00,64.47
120,2020-01-16,64.62,64.04
121,2020-01-17,64.85,64.57
122,2020-01-21,64.59,64.84
123,2020-01-22,63.21,64.62
124,2020-01-23,62.04,63.34
125,2020-01-24,60.69,62.14
126,2020-01-27,59.32,60.80
127,2020-01-28,59.51,59.42
128,2020-01-29,59.81,59.42
129,2020-01-30,58.29,59.70
130,2020-01-31,58.16,58.41
131,2020-02-03,58.20,58.10
132,2020-02-04,53.96,58.11
133,2020-02-05,55.28,54.54
134,2020-02-06,54.93,55.06
135,2020-02-07,54.47,54.90
136,2020-02-10,53.27,54.46
137,2020-02-11,54.01,53.39
138,2020-02-12,55.79,53.86
139,2020-02-13,56.34,55.49
140,2020-02-14,57.32,56.18
141,2020-02-18,57.75,57.11
142,2020-02-19,59.12,57.61
143,2020-02-20,59.31,58.88
144,2020-02-21,58.50,59.21
145,2020-02-24,56.30,58.52
146,2020-02-25,54.95,56.53
147,2020-02-26,53.43,55.06
148,2020-02-27,52.18,53.59
149,2020-02-28,50.52,52.33
150,2020-03-02,50.48,50.77
151,2020-03-03,51.86,50.52
152,2020-03-04,51.13,51.68
153,2020-03-05,49.99,51.23
154,2020-03-06,45.27,50.19
155,2020-03-09,34.36,46.18
156,2020-03-10,37.22,36.67
157,2020-03-11,35.79,37.52
158,2020-03-12,33.22,36.56
159,2020-03-13,33.85,34.17
160,2020-03-16,30.05,34.33
161,2020-03-17,28.73,31.27
162,2020-03-18,24.88,29.49
163,2020-03-19,28.47,25.94
164,2020-03-20,26.98,28.51
165,2020-03-23,27.03,27.81
166,2020-03-24,27.15,27.52
167,2020-03-25,27.39,27.65
168,2020-03-26,26.34,27.89
169,2020-03-27,24.93,26.99
170,2020-03-30,22.76,25.54
171,2020-03-31,22.74,23.35
172,2020-04-01,22.76,22.94
173,2020-04-02,29.94,23.00
174,2020-04-03,34.11,29.83
175,2020-04-06,33.05,34.43
176,2020-04-07,31.87,33.81
177,2020-04-08,32.84,32.64
178,2020-04-09,31.48,33.30
179,2020-04-13,31.74,32.29
180,2020-04-14,29.60,32.30
181,2020-04-15,27.69,30.53
182,2020-04-16,27.82,28.53
183,2020-04-17,28.08,28.33
184,2020-04-20,25.57,28.60
185,2020-04-21,19.33,26.43
186,2020-04-22,20.37,20.40
187,2020-04-23,21.33,20.13
188,2020-04-24,21.44,21.39
189,2020-04-27,19.99,21.61
190,2020-04-28,20.46,20.22
191,2020-04-29,22.54,20.39
192,2020-04-30,25.27,22.52
193,2020-05-01,25.29,25.43
194,2020-05-04,27.20,25.79
195,2020-05-05,30.97,27.45
196,2020-05-06,29.72,31.16
197,2020-05-07,29.46,30.56
198,2020-05-08,30.97,30.08
199,2020-05-11,29.63,31.37
200,2020-05-12,29.98,30.45
201,2020-05-13,29.19,30.52
202,2020-05-14,31.13,29.90
203,2020-05-15,32.50,31.47
204,2020-05-18,34.81,32.93
205,2020-05-19,34.65,35.13
206,2020-05-20,35.75,35.25
207,2020-05-21,36.06,36.21
208,2020-05-22,35.13,36.61
209,2020-05-26,36.17,35.83
210,2020-05-27,34.74,36.64
211,2020-05-28,35.29,35.51
212,2020-05-29,35.33,35.81
213,2020-06-01,35.32,35.91
214,2020-06-02,39.57,35.91
215,2020-06-03,39.79,39.71
216,2020-06-04,39.99,40.27
217,2020-06-05,42.30,40.48
218,2020-06-08,40.80,42.49
219,2020-06-09,41.18,41.44
220,2020-06-10,41.73,41.61
221,2020-06-11,38.55,42.11
222,2020-06-12,38.73,39.50
223,2020-06-15,39.72,39.27
224,2020-06-16,40.96,40.13
225,2020-06-17,40.71,41.30
226,2020-06-18,41.51,41.22
227,2020-06-19,42.19,41.88
228,2020-06-22,43.08,42.53
229,2020-06-23,42.63,43.36
230,2020-06-24,40.31,43.07
231,2020-06-25,41.05,41.09
232,2020-06-26,41.02,41.45
233,2020-06-29,41.71,41.49
234,2020-06-30,41.15,42.08
235,2020-07-01,41.13,41.67
236,2020-07-02,43.14,41.60
237,2020-07-06,43.10,43.32
238,2020-07-07,43.08,43.47
239,2020-07-08,43.29,43.46
240,2020-07-09,42.35,43.63
241,2020-07-10,43.24,42.87
242,2020-07-13,42.72,43.52
243,2020-07-14,42.90,43.17
244,2020-07-15,43.79,43.27
245,2020-07-16,43.37,44.04
246,2020-07-17,43.14,43.77
247,2020-07-20,43.28,43.54
248,2020-07-21,44.32,43.63
249,2020-07-22,44.29,44.53
250,2020-07-23,43.31,44.60
251,2020-07-24,43.34,43.79
252,2020-07-27,43.41,43.71
253,2020-07-28,43.22,43.76
254,2020-07-29,43.75,43.61
255,2020-07-30,42.94,44.04
256,2020-07-31,43.30,43.41
257,2020-08-03,43.26,43.63
258,2020-08-04,44.43,43.63
259,2020-08-05,45.17,44.62
260,2020-08-06,45.09,45.35
261,2020-08-07,44.40,45.37
262,2020-08-10,44.99,44.79
263,2020-08-11,44.50,45.21
264,2020-08-12,45.43,44.86
265,2020-08-13,44.96,45.59
266,2020-08-14,44.80,45.29
267,2020-08-17,45.37,45.11
268,2020-08-18,45.46,45.57
269,2020-08-19,45.37,45.70
270,2020-08-20,44.90,45.64
271,2020-08-21,44.35,45.24
272,2020-08-24,45.13,44.73
273,2020-08-25,45.86,45.32
274,2020-08-26,45.64,46.01
275,2020-08-27,45.09,45.91
276,2020-08-28,45.05,45.43
277,2020-08-31,45.10,45.33
278,2020-09-02,44.43,45.37
279,2020-09-03,44.07,44.81
280,2020-09-04,42.66,44.44
281,2020-09-08,39.78,43.22
282,2020-09-09,40.79,40.66
283,2020-09-10,40.06,41.18
284,2020-09-11,39.83,40.65
285,2020-09-14,39.61,40.38
286,2020-09-15,40.53,40.16
287,2020-09-16,42.22,40.92
288,2020-09-17,43.30,42.46
289,2020-09-18,43.15,43.54
290,2020-09-21,41.44,43.53
291,2020-09-22,41.72,42.09
292,2020-09-23,41.77,42.14
293,2020-09-24,41.94,42.20
294,2020-09-25,41.92,42.35
295,2020-09-28,42.43,42.35
296,2020-09-29,41.03,42.78
297,2020-09-30,40.95,41.66
