,Train Split,Order,MSE,MAPE,Time(s)
154,0.500,"(9, 1, 2)",58.065,0.105,1388.514
155,0.500,"(9, 2, 0)",58.370,0.104,210.840
156,0.500,"(9, 2, 1)",54.915,0.104,690.821
157,0.500,"(9, 2, 2)",57.397,0.106,955.634
158,0.650,"(0, 0, 0)",575.937,0.377,0.248
159,0.650,"(0, 0, 1)",207.030,0.220,1.749
160,0.650,"(0, 1, 0)",51.198,0.099,0.305
161,0.650,"(0, 1, 1)",51.061,0.095,1.266
162,0.650,"(0, 1, 2)",51.603,0.095,2.038
163,0.650,"(0, 2, 0)",86.273,0.119,0.237
164,0.650,"(0, 2, 1)",53.333,0.101,4.147
165,0.650,"(0, 2, 2)",52.718,0.097,6.451
166,0.650,"(1, 0, 0)",50.790,0.097,1.827
167,0.650,"(1, 0, 1)",50.224,0.095,3.886
168,0.650,"(1, 0, 2)",50.677,0.095,5.787
169,0.650,"(1, 1, 0)",51.463,0.095,1.066
170,0.650,"(1, 1, 1)",51.698,0.095,2.756
171,0.650,"(1, 1, 2)",51.573,0.096,11.254
172,0.650,"(1, 2, 0)",74.612,0.113,1.140
173,0.650,"(1, 2, 1)",53.171,0.096,7.426
174,0.650,"(2, 0, 0)",50.609,0.095,3.316
175,0.650,"(2, 0, 1)",50.942,0.095,6.047
176,0.650,"(2, 0, 2)",50.250,0.094,11.294
177,0.650,"(2, 1, 0)",51.668,0.095,1.948
178,0.650,"(2, 1, 1)",52.955,0.096,13.045
179,0.650,"(2, 1, 2)",58.359,0.102,11.770
180,0.650,"(2, 2, 0)",68.859,0.110,1.837
181,0.650,"(2, 2, 1)",53.393,0.096,10.383
182,0.650,"(3, 0, 0)",50.885,0.095,5.456
183,0.650,"(3, 0, 1)",51.067,0.094,22.205
184,0.650,"(3, 0, 2)",52.025,0.096,24.668
185,0.650,"(3, 1, 0)",51.765,0.095,2.826
186,0.650,"(3, 1, 1)",52.008,0.095,13.430
187,0.650,"(3, 1, 2)",52.479,0.096,31.374
188,0.650,"(3, 2, 0)",65.382,0.108,2.761
189,0.650,"(3, 2, 1)",53.520,0.096,14.019
190,0.650,"(4, 0, 0)",51.131,0.095,7.845
191,0.650,"(4, 0, 1)",52.176,0.095,35.342
192,0.650,"(4, 0, 2)",51.225,0.094,70.229
193,0.650,"(4, 1, 0)",52.243,0.094,4.740
194,0.650,"(4, 1, 1)",53.575,0.096,20.674
195,0.650,"(4, 1, 2)",53.180,0.096,38.398
196,0.650,"(4, 2, 0)",61.962,0.106,4.000
197,0.650,"(4, 2, 1)",53.993,0.096,21.164
198,0.650,"(5, 0, 0)",51.476,0.095,21.637
199,0.650,"(5, 0, 1)",51.776,0.095,36.606
200,0.650,"(5, 1, 0)",54.773,0.097,15.786
201,0.650,"(5, 1, 1)",54.648,0.097,23.648
202,0.650,"(5, 1, 2)",56.756,0.099,36.143
203,0.650,"(5, 2, 0)",59.402,0.103,15.724
204,0.650,"(5, 2, 1)",56.612,0.100,43.761
205,0.650,"(5, 2, 2)",56.495,0.101,52.367
206,0.650,"(6, 0, 0)",53.419,0.097,35.027
207,0.650,"(6, 0, 1)",53.251,0.096,50.388
208,0.650,"(6, 0, 2)",54.741,0.098,77.905
209,0.650,"(6, 1, 0)",54.669,0.097,26.757
210,0.650,"(6, 1, 1)",54.876,0.098,43.227
211,0.650,"(6, 1, 2)",54.790,0.097,86.891
212,0.650,"(6, 2, 0)",60.305,0.103,26.901
213,0.650,"(6, 2, 1)",56.451,0.100,47.679
214,0.650,"(6, 2, 2)",56.731,0.101,65.435
215,0.650,"(7, 0, 0)",53.122,0.097,96.247
216,0.650,"(7, 0, 1)",53.396,0.096,154.834
217,0.650,"(7, 1, 0)",54.849,0.098,58.894
