Date,Close Prices,"ARIMA_50.0_(0, 1, 0)_Predictions","ARIMA_50.0_(1, 0, 0)_Predictions",LSTM_80.0_Predictions
3/26/2017,50.6,47.92,48.27,
4/2/2017,52.24,50.56,50.88,
4/9/2017,53.18,52.2,52.5,
4/16/2017,49.62,53.14,53.43,
4/23/2017,49.33,49.58,49.9,
4/30/2017,46.22,49.29,49.61,
5/7/2017,47.84,46.17,46.53,
5/14/2017,50.33,47.79,48.13,
5/21/2017,49.8,50.29,50.6,
5/28/2017,47.66,49.76,50.08,
6/4/2017,45.83,47.61,47.95,
6/11/2017,44.74,45.78,46.13,
6/18/2017,43.01,44.69,45.05,
6/25/2017,46.04,42.95,43.33,
7/2/2017,44.23,45.99,46.34,
7/9/2017,46.54,44.18,44.54,
7/16/2017,45.77,46.49,46.83,
7/23/2017,49.71,45.72,46.07,
7/30/2017,49.58,49.67,49.98,
8/6/2017,48.82,49.54,49.85,
8/13/2017,48.51,48.78,49.09,
8/20/2017,47.87,48.47,48.78,
8/27/2017,47.29,47.82,48.15,
9/3/2017,47.48,47.24,47.57,
9/10/2017,49.89,47.43,47.76,
9/17/2017,50.66,49.85,50.15,
9/24/2017,51.67,50.62,50.91,
10/1/2017,49.29,51.63,51.91,
10/8/2017,51.45,49.25,49.55,
10/15/2017,51.47,51.41,51.69,
10/22/2017,53.9,51.43,51.71,
10/29/2017,55.64,53.87,54.12,
11/5/2017,56.74,55.61,55.85,
11/12/2017,56.55,56.71,56.94,
11/19/2017,58.95,56.52,56.75,
11/26/2017,58.36,58.93,59.13,
12/3/2017,57.36,58.34,58.54,
12/10/2017,57.3,57.33,57.55,
12/17/2017,58.47,57.27,57.49,
12/24/2017,60.42,58.45,58.65,
12/31/2017,61.44,60.4,60.58,
1/7/2018,64.3,61.42,61.59,
1/14/2018,63.37,64.29,64.42,
1/21/2018,66.14,63.36,63.5,
1/28/2018,65.45,66.13,66.24,
2/4/2018,59.2,65.44,65.56,
2/11/2018,61.68,59.18,59.37,
2/18/2018,63.55,61.66,61.83,
2/25/2018,61.25,63.54,63.68,
3/4/2018,62.04,61.23,61.4,
3/11/2018,62.34,62.02,62.18,
3/18/2018,65.88,62.32,62.48,
3/25/2018,64.94,65.87,65.98,
4/1/2018,62.06,64.93,65.05,
4/8/2018,67.39,62.04,62.2,
4/15/2018,68.38,67.38,67.48,
4/22/2018,68.1,68.37,68.46,
4/29/2018,69.72,68.09,68.18,
5/6/2018,70.7,69.72,69.78,
5/13/2018,71.28,70.7,70.75,
5/20/2018,67.88,71.28,71.33,
5/27/2018,65.81,67.87,67.96,
6/3/2018,65.74,65.8,65.91,
6/10/2018,65.06,65.73,65.84,
6/17/2018,68.58,65.05,65.17,
6/24/2018,74.15,68.57,68.66,
7/1/2018,73.8,74.15,74.17,
7/8/2018,71.01,73.8,73.82,
7/15/2018,70.46,71.01,71.06,
7/22/2018,68.69,70.46,70.52,
7/29/2018,68.49,68.69,68.76,
8/5/2018,67.63,68.48,68.57,
8/12/2018,65.91,67.62,67.71,
8/19/2018,68.72,65.9,66.01,
8/26/2018,69.8,68.72,68.79,
9/2/2018,67.75,69.8,69.86,
9/9/2018,68.99,67.74,67.83,
9/16/2018,70.78,68.99,69.06,
9/23/2018,73.25,70.78,70.83,
9/30/2018,74.34,73.25,73.27,
10/7/2018,71.34,74.34,74.35,
10/14/2018,69.12,71.34,71.39,
10/21/2018,67.59,69.12,69.19,
10/28/2018,63.14,67.58,67.67,
11/4/2018,60.19,63.13,63.27,
11/11/2018,56.46,60.17,60.35,
11/18/2018,50.42,56.43,56.66,
11/25/2018,50.93,50.38,50.67,
12/2/2018,52.61,50.9,51.17,
12/9/2018,51.2,52.58,52.84,
12/16/2018,45.59,51.17,51.44,
12/23/2018,45.33,45.55,45.88,
12/30/2018,47.96,45.29,45.62,
